Date;Collar;Start;End;Air_pres (hPa);System_height (m);Temperature (K)
6.5.2021;C1;6:38:57;6:41:25;1003.0;0.292;
6.5.2021;C1;6:42:34;6:45:02;1003.0;0.292;
6.5.2021;C1;6:46:34;6:49:05;1002.9;0.292;
6.5.2021;C1;6:50:59;6:53:28;1002.9;0.292;
6.5.2021;C1;6:56:46;6:59:13;1002.8;0.292;
6.5.2021;C1;7:00:33;7:03:02;1002.8;0.292;
6.5.2021;C1;7:28:50;7:28:58;1002.8;0.292;
6.5.2021;C2;7:29:02;7:31:21;1002.8;0.34500000000000003;
6.5.2021;C2;7:34:56;7:37:23;1002.8;0.34500000000000003;
6.5.2021;C2;7:39:23;7:41:51;1002.7;0.34500000000000003;
6.5.2021;C2;7:45:23;7:48:00;1002.8;0.34500000000000003;
6.5.2021;C2;7:55:20;7:57:53;1002.8;0.34500000000000003;
6.5.2021;C3;8:07:19;8:10:03;1002.8;0.29600000000000004;
6.5.2021;C3;8:11:54;8:14:25;1002.8;0.29600000000000004;
6.5.2021;C3;8:18:30;8:21:05;1002.7;0.29600000000000004;
6.5.2021;C3;8:23:24;8:25:57;1002.7;0.29600000000000004;
6.5.2021;C3;8:28:02;8:30:36;1002.7;0.29600000000000004;
6.5.2021;C4;8:42:19;8:44:47;1002.6;0.33799999999999997;
6.5.2021;C4;8:46:04;8:48:36;1002.6;0.33799999999999997;
6.5.2021;C4;8:49:54;8:52:22;1002.6;0.33799999999999997;
6.5.2021;C4;8:55:21;8:57:53;1002.6;0.33799999999999997;
6.5.2021;C4;8:59:20;9:01:51;1002.6;0.33799999999999997;
6.5.2021;C9;10:05:45;10:08:13;1002.1;0.322;
6.5.2021;C9;10:12:31;10:15:06;1002.1;0.322;
6.5.2021;C9;10:16:25;10:18:58;1002.2;0.322;
6.5.2021;C9;10:20:34;10:23:16;1002.2;0.322;
6.5.2021;C9;10:25:08;10:27:38;1002.1;0.322;
6.5.2021;C10;10:37:20;10:40:46;1002.1;0.311;
6.5.2021;C10;10:43:21;10:46:01;1002.1;0.311;
6.5.2021;C10;10:47:13;10:50:26;1002.1;0.311;
6.5.2021;C10;10:52:43;10:55:11;1002.1;0.311;
6.5.2021;C10;10:56:54;10:59:21;1001.9;0.311;
6.5.2021;C11;11:04:27;11:06:55;1001.9;0.327;
6.5.2021;C11;11:08:13;11:11:11;1001.9;0.327;
6.5.2021;C11;11:13:37;11:16:09;1001.9;0.327;
6.5.2021;C11;11:18:06;11:20:36;1001.9;0.327;
6.5.2021;C11;11:22:29;11:25:01;1001.9;0.327;
14.5.2021;C1;7:02:47;7:05:19;1008.6;0.29733333333333334;286.95
14.5.2021;C1;7:06:19;7:08:48;1008.7;0.29733333333333334;286.95
14.5.2021;C1;7:09:35;7:12:29;1008.7;0.29733333333333334;286.95
14.5.2021;C1;7:14:28;7:16:56;1008.7;0.29733333333333334;286.95
14.5.2021;C1;7:18:12;7:20:40;1008.6;0.29733333333333334;287.25
14.5.2021;C2;7:24:06;7:26:36;1008.6;0.3474444444444444;287.25
14.5.2021;C2;7:27:39;7:30:06;1008.6;0.3474444444444444;287.54999999999995
14.5.2021;C2;7:30:59;7:33:29;1008.6;0.3474444444444444;287.54999999999995
14.5.2021;C2;7:35:02;7:37:33;1008.5;0.3474444444444444;287.84999999999997
14.5.2021;C2;7:38:48;7:41:17;1008.5;0.3474444444444444;287.84999999999997
14.5.2021;C3;7:44:53;7:47:20;1008.5;0.2938888888888889;287.84999999999997
14.5.2021;C3;7:48:14;7:50:49;1008.6;0.2938888888888889;287.95
14.5.2021;C3;7:53:51;7:56:29;1008.6;0.2938888888888889;287.95
14.5.2021;C3;7:58:17;8:00:49;1008.6;0.2938888888888889;287.95
14.5.2021;C3;8:02:10;8:04:39;1008.6;0.2938888888888889;287.95
14.5.2021;C4;9:43:32;9:46:02;1008.4;0.335;289.54999999999995
14.5.2021;C4;9:47:44;9:50:15;1008.4;0.335;289.25
14.5.2021;C4;9:51:30;9:54:09;1008.4;0.335;289.25
14.5.2021;C4;9:55:44;9:58:23;1008.3;0.335;289.65
14.5.2021;C4;9:59:27;10:01:59;1008.3;0.335;289.65
14.5.2021;C9;10:05:57;10:08:28;1008.3;0.3138888888888889;289.84999999999997
14.5.2021;C9;10:09:46;10:12:14;1008.3;0.3138888888888889;289.84999999999997
14.5.2021;C9;10:13:12;10:15:40;1008.3;0.3138888888888889;289.84999999999997
14.5.2021;C9;10:16:56;10:19:23;1008.4;0.3138888888888889;289.84999999999997
14.5.2021;C9;10:20:21;10:22:58;1008.4;0.3138888888888889;289.84999999999997
14.5.2021;C10;10:25:46;10:28:14;1008.4;0.3141111111111111;290.45
14.5.2021;C10;10:29:17;10:31:45;1008.4;0.3141111111111111;290.45
14.5.2021;C10;10:32:52;10:35:28;1008.4;0.3141111111111111;290.45
14.5.2021;C10;10:36:57;10:39:26;1008.3;0.3141111111111111;290.34999999999997
14.5.2021;C10;10:40:41;10:43:09;1008.3;0.3141111111111111;290.34999999999997
14.5.2021;C11;10:46:13;10:48:58;1008.2;0.3322222222222222;290.54999999999995
14.5.2021;C11;10:50:28;10:52:58;1008.2;0.3322222222222222;290.54999999999995
14.5.2021;C11;10:54:04;10:56:33;1008.2;0.3322222222222222;290.54999999999995
14.5.2021;C11;10:57:42;11:00:12;1008.2;0.3322222222222222;290.34999999999997
14.5.2021;C11;11:01:11;11:03:40;1008.2;0.3322222222222222;290.34999999999997
14.5.2021;C12;11:06:13;11:08:40;1008.0;0.30766666666666664;290.45
14.5.2021;C12;11:09:35;11:12:07;1008.0;0.30766666666666664;290.45
14.5.2021;C12;11:12:54;11:15:47;1008.0;0.30766666666666664;290.45
14.5.2021;C12;11:18:10;11:20:40;1008.0;0.30766666666666664;290.45
14.5.2021;C12;11:21:37;11:24:10;1008.0;0.30766666666666664;290.45
14.5.2021;C5;11:34:00;11:36:39;1007.8;0.3034444444444444;290.65
14.5.2021;C5;11:38:05;11:40:35;1007.7;0.3034444444444444;290.95
14.5.2021;C5;11:41:57;11:44:26;1007.7;0.3034444444444444;290.95
14.5.2021;C5;11:46:14;11:48:49;1007.6;0.3034444444444444;291.25
14.5.2021;C5;11:49:29;11:51:57;1007.6;0.3034444444444444;291.25
14.5.2021;C6;11:55:51;11:58:18;1007.5;0.3008888888888889;291.54999999999995
14.5.2021;C6;11:59:21;12:01:49;1007.5;0.3008888888888889;291.54999999999995
14.5.2021;C6;12:02:49;12:05:25;1007.5;0.3008888888888889;291.54999999999995
14.5.2021;C6;12:07:31;12:10:02;1007.6;0.3008888888888889;291.84999999999997
14.5.2021;C6;12:11:08;12:13:37;1007.6;0.3008888888888889;291.84999999999997
14.5.2021;C6;12:14:04;12:16:33;1007.6;0.3008888888888889;291.84999999999997
14.5.2021;C7;12:18:27;12:20:57;1007.6;0.31833333333333336;291.84999999999997
14.5.2021;C7;12:21:31;12:24:00;1007.6;0.31833333333333336;291.84999999999997
14.5.2021;C7;12:24:30;12:26:58;1007.6;0.31833333333333336;291.84999999999997
14.5.2021;C7;12:27:34;12:30:02;1007.7;0.31833333333333336;292.34999999999997
14.5.2021;C7;12:30:27;12:32:53;1007.7;0.31833333333333336;292.34999999999997
14.5.2021;C8;12:34:19;12:36:49;1007.7;0.3214444444444445;292.34999999999997
14.5.2021;C8;12:37:14;12:39:42;1007.6;0.3214444444444445;292.54999999999995
14.5.2021;C8;12:40:21;12:42:49;1007.6;0.3214444444444445;292.54999999999995
14.5.2021;C8;12:43:17;12:45:46;1007.6;0.3214444444444445;292.54999999999995
14.5.2021;C8;12:46:20;12:48:49;1007.4;0.3214444444444445;292.95
